Miscare,Scor,Password
R38,0,283
R92,92,283
R65,57,284
L57,0,285
R858,58,293
L83,75,294
L75,0,295
R30,30,295
L330,0,299
L476,24,303
L47,77,304
R33,10,305
L87,23,306
L52,71,307
R29,0,308
L55,45,308
L45,0,309
R1,1,309
R99,0,310
R39,39,310
R61,0,311
L17,83,311
L783,0,319
L33,67,319
L67,0,320
R42,42,320
R86,28,321
R22,50,321
L450,0,326
R69,69,326
R31,0,327
R30,30,327
L930,0,337
L3,97,337
L39,58,337
R973,31,347
L38,93,348
R25,18,349
R23,41,349
R79,20,350
R39,59,350
L59,0,351
R605,5,357
L334,71,361
L98,73,362
L973,0,372
L15,85,372
R11,96,372
L82,14,372
R86,0,373
L57,43,373
R29,72,373
R65,37,374
R5,42,374
L52,90,375
L8,82,375
R26,8,376
R33,41,376
R59,0,377
L31,69,377
L18,51,377
R49,0,378
R81,81,378
L81,0,379
R357,57,382
L57,0,383
L51,49,383
R51,0,384
L17,83,384
R67,50,385
L108,42,386
R58,0,387
R12,12,387
R373,85,390
R15,0,391
R18,18,391
L618,0,398
R768,68,405
L4,64,405
L29,35,405
R31,66,405
L25,41,405
R39,80,405
L880,0,414
R81,81,414
L56,25,414
R75,0,415
R77,77,415
L452,25,419
R75,0,420
R49,49,420
R35,84,420
R85,69,421
L103,66,422
L97,69,423
R9,78,423
L934,44,432
R53,97,432
R46,43,433
L43,0,434
L10,90,434
L436,54,438
R47,1,439
R65,66,439
R25,91,439
L6,85,439
R223,8,442
R411,19,446
L19,0,447
R532,32,452
L21,11,452
L69,42,453
L89,53,454
L37,16,454
R88,4,455
R94,98,455
R2,0,456
L83,17,456
L16,1,456
L717,84,464
R18,2,465
L49,53,466
L37,16,466
L16,0,467
L65,35,467
R65,0,468
L454,46,472
R26,72,472
R210,82,474
L58,24,474
R50,74,474
R526,0,480
R97,97,480
R92,89,481
R20,9,482
L196,13,484
L13,0,485
L12,88,485
L88,0,486
L17,83,486
R48,31,487
R984,15,497
L15,0,498
L50,50,498
L70,80,499
R20,0,500
R49,49,500
L49,0,501
R42,42,501
R60,2,502
L13,89,503
R11,0,504
R50,50,504
L71,79,505
R79,58,506
R96,54,507
R46,0,508
R57,57,508
R21,78,508
L778,0,516
L803,97,524
R3,0,525
L865,35,533
R22,57,533
L40,17,533
R407,24,537
L79,45,538
L57,88,539
R12,0,540
R11,11,540
L864,47,549
L47,0,550
R90,90,550
R98,88,551
R12,0,552
L216,84,554
L84,0,555
L97,3,555
L2,1,555
L25,76,556
L33,43,556
R33,76,556
L990,86,566
L58,28,566
L167,61,568
L28,33,568
R33,66,568
R340,6,572
R94,0,573
L38,62,573
R80,42,574
L42,0,575
L21,79,575
R28,7,576
R474,81,580
R4,85,580
L85,0,581
R59,59,581
L59,0,582
L979,21,591
R79,0,592
R77,77,592
R123,0,594
R515,15,599
L15,0,600
R32,32,600
L32,0,601
L21,79,601
L116,63,602
R37,0,603
L74,26,603
R74,0,604
L51,49,604
R35,84,604
L37,47,604
L26,21,604
R90,11,605
L56,55,606
R45,0,607
L280,20,609
R604,24,615
L60,64,616
R328,92,619
L92,0,620
R913,13,629
R60,73,629
L21,52,629
L34,18,629
L18,0,630
R4,4,630
R93,97,630
L97,0,631
R54,54,631
L54,0,632
R86,86,632
R2,88,632
R12,0,633
L11,89,633
R11,0,634
L177,23,635
L22,1,635
R99,0,636
R25,25,636
L25,0,637
R7,7,637
L41,66,638
L30,36,638
L36,0,639
R86,86,639
R53,39,640
L606,33,646
R67,0,647
R5,5,647
L505,0,653
R164,64,654
L64,0,655
R98,98,655
L3,95,655
L195,0,657
L54,46,657
L97,49,658
R51,0,659
L20,80,659
R20,0,660
R92,92,660
L92,0,661
R65,65,661
R35,0,662
L42,58,662
R63,21,663
R79,0,664
R31,31,664
R94,25,665
R75,0,666
R18,18,666
R82,0,667
R32,32,667
L547,85,673
R153,38,675
R35,73,675
L573,0,681
R599,99,686
R90,89,687
R27,16,688
L16,0,689
L20,80,689
R20,0,690
L855,45,698
R255,0,701
R925,25,710
R75,0,711
R729,29,718
L29,0,719
L899,1,727
L1,0,728
L86,14,728
R29,43,728
L3,40,728
L40,0,729
L149,51,730
R69,20,731
L458,62,736
R11,73,736
L61,12,736
L580,32,742
R321,53,745
R247,0,748
L57,43,748
L63,80,749
L14,66,749
R57,23,750
R19,42,750
L42,0,751
L54,46,751
R31,77,751
R769,46,759
R57,3,760
L637,66,767
L544,22,772
L94,28,773
R7,35,773
L81,54,774
L73,81,775
R352,33,779
L8,25,779
L25,0,780
L878,22,788
R478,0,793
R70,70,793
R90,60,794
L37,23,794
L811,12,802
L70,42,803
L42,0,804
L92,8,804
R54,62,804
R43,5,805
R95,0,806
L161,39,807
L22,17,807
L17,0,808
L93,7,808
L565,42,814
L42,0,815
L63,37,815
L611,26,821
L726,0,829
L80,20,829
L42,78,830
L378,0,834
L81,19,834
L49,70,835
L83,87,836
L287,0,839
R819,19,847
L54,65,848
L53,12,848
R488,0,853
R47,47,853
R14,61,853
L141,20,854
L420,0,859
L72,28,859
R72,0,860
L17,83,860
L939,44,869
L36,8,869
R192,0,871
R66,66,871
L50,16,871
R84,0,872
R27,27,872
L85,42,873
L69,73,874
L646,27,880
L85,42,881
R25,67,881
R33,0,882
R97,97,882
L686,11,888
R989,0,898
R90,90,898
R67,57,899
L57,0,900
L14,86,900
L70,16,900
L17,99,901
L375,24,904
R37,61,904
L61,0,905
R2,2,905
L2,0,906
R443,43,910
R22,65,910
R611,76,916
R83,59,917
L59,0,918
L451,49,922
L304,45,925
R48,93,925
L24,69,925
L69,0,926
R8,8,926
R92,0,927
R12,12,927
L12,0,928
L76,24,928
L424,0,933
L351,49,936
L51,98,937
L98,0,938
L4,96,938
L42,54,938
R77,31,939
L87,44,940
R33,77,940
R17,94,940
R6,0,941
R21,21,941
L342,79,945
R321,0,949
R32,32,949
L54,78,950
R206,84,952
R67,51,953
R27,78,953
L30,48,953
L71,77,954
R34,11,955
L88,23,956
R77,0,957
R68,68,957
R6,74,957
L30,44,957
L93,51,958
R62,13,959
L141,72,961
R26,98,961
R3,1,962
L942,59,972
L20,39,972
R16,55,972
R19,74,972
R26,0,973
L71,29,973
R957,86,982
L43,43,982
R42,85,982
L10,75,982
R21,96,982
R4,0,983
L27,73,983
L85,88,984
L3,85,984
L64,21,984
L21,0,985
L87,13,985
R3,16,985
L816,0,994
R47,47,994
L46,1,994
R99,0,995
L75,25,995
L25,0,996
L71,29,996
R83,12,997
L67,45,998
L25,20,998
R41,61,998
L61,0,999
R28,28,999
R192,20,1001
L20,0,1002
L11,89,1002
L989,0,1012
R64,64,1012
R25,89,1012
L62,27,1012
L227,0,1015
R92,92,1015
L692,0,1022
L68,32,1022
L14,18,1022
R82,0,1023
R81,81,1023
L77,4,1023
R62,66,1023
R88,54,1024
R46,0,1025
L91,9,1025
R59,68,1025
R57,25,1026
L88,37,1027
L687,50,1034
R38,88,1034
L88,0,1035
R90,90,1035
L190,0,1037
R24,24,1037
L82,42,1038
L73,69,1039
R540,9,1045
R136,45,1046
L888,57,1055
R443,0,1060
R40,40,1060
R260,0,1063
L1,99,1063
L99,0,1064
L6,94,1064
R88,82,1065
L82,0,1066
L37,63,1066
L63,0,1067
L790,10,1074
L28,82,1075
L40,42,1075
R69,11,1076
L11,0,1077
L83,17,1077
L95,22,1078
L61,61,1079
R29,90,1079
L54,36,1079
L236,0,1082
R25,25,1082
L90,35,1083
R399,34,1087
L49,85,1088
L67,18,1088
L18,0,1089
R47,47,1089
L46,1,1089
L866,35,1098
L2,33,1098
R41,74,1098
R62,36,1099
R64,0,1100
L67,33,1100
L5,28,1100
L10,18,1100
R199,17,1102
L61,56,1103
L556,0,1109
R26,26,1109
R31,57,1109
R25,82,1109
R9,91,1109
R9,0,1110
L50,50,1110
L76,74,1111
R26,0,1112
L303,97,1115
R3,0,1116
R2,2,1116
L35,67,1117
L1,66,1117
R98,64,1118
R87,51,1119
L51,0,1120
R28,28,1120
L28,0,1121
L23,77,1121
L2,75,1121
L175,0,1123
L12,88,1123
L21,67,1123
L22,45,1123
R555,0,1129
R952,52,1138
L52,0,1139
R345,45,1142
R63,8,1143
R639,47,1149
R679,26,1156
R54,80,1156
L13,67,1156
L67,0,1157
R12,12,1157
L12,0,1158
R23,23,1158
L64,59,1159
L33,26,1159
R874,0,1168
L932,68,1177
R32,0,1178
L99,1,1178
L34,67,1179
R92,59,1180
R41,0,1181
L37,63,1181
R22,85,1181
L8,77,1181
L73,4,1181
L427,77,1186
R23,0,1187
R15,15,1187
R17,32,1187
R61,93,1187
L44,49,1187
R67,16,1188
L116,0,1190
L66,34,1190
L32,2,1190
R80,82,1190
L11,71,1190
L44,27,1190
L27,0,1191
R60,60,1191
R40,0,1192
L66,34,1192
R66,0,1193
L60,40,1193
L40,0,1194
R372,72,1197
L772,0,1205
R52,52,1205
R48,0,1206
R90,90,1206
L77,13,1206
R94,7,1207
L7,0,1208
R81,81,1208
L381,0,1212
L60,40,1212
R854,94,1220
R95,89,1221
L989,0,1231
R40,40,1231
R32,72,1231
L41,31,1231
L68,63,1232
L63,0,1233
R919,19,1242
R781,0,1250
R57,57,1250
L32,25,1250
L25,0,1251
R18,18,1251
L861,57,1260
L815,42,1268
R698,40,1275
L16,24,1275
L875,49,1284
L49,0,1285
L58,42,1285
R68,10,1286
R86,96,1286
R16,12,1287
R788,0,1295
L15,85,1295
L85,0,1296
L69,31,1296
R23,54,1296
L50,4,1296
R96,0,1297
R76,76,1297
L88,88,1298
R12,0,1299
L71,29,1299
L31,98,1300
L14,84,1300
R20,4,1301
L4,0,1302
L51,49,1302
L549,0,1308
L74,26,1308
L35,91,1309
L91,0,1310
L13,87,1310
R13,0,1311
L891,9,1319
L85,24,1320
L76,48,1321
R37,85,1321
L660,25,1327
R75,0,1328
L9,91,1328
L322,69,1331
L69,0,1332
R817,17,1340
R83,0,1341
L75,25,1341
L25,0,1342
R85,85,1342
R57,42,1343
L669,73,1350
R1,74,1350
L74,0,1351
L57,43,1351
L48,95,1352
R76,71,1353
L71,0,1354
R394,94,1357
R98,92,1358
R44,36,1359
R93,29,1360
R91,20,1361
L90,30,1362
R35,65,1362
L193,72,1364
R57,29,1365
R31,60,1365
L60,0,1366
R240,40,1368
R60,0,1369
R62,62,1369
L44,18,1369
L18,0,1370
R6,6,1370
L506,0,1376
R46,46,1376
R54,0,1377
R74,74,1377
L74,0,1378
R80,80,1378
L294,86,1381
R277,63,1384
R49,12,1385
R8,20,1385
R88,8,1386
R92,0,1387
R78,78,1387
R611,89,1393
L611,78,1399
R22,0,1400
L928,72,1409
R89,61,1410
R839,0,1419
L27,73,1419
R66,39,1420
L39,0,1421
R11,11,1421
L11,0,1422
R56,56,1422
R97,53,1423
R922,75,1432
L574,1,1437
L1,0,1438
L89,11,1438
R15,26,1438
L73,53,1439
R947,0,1449
L61,39,1449
L85,54,1450
R46,0,1451
L72,28,1451
L28,0,1452
L72,28,1452
R29,57,1452
L23,34,1452
R66,0,1453
L33,67,1453
L67,0,1454
L2,98,1454
L798,0,1462
L90,10,1462
R31,41,1462
L46,95,1463
L61,34,1463
L934,0,1473
L85,15,1473
R85,0,1474
L17,83,1474
L83,0,1475
L14,86,1475
L4,82,1475
R518,0,1481
R43,43,1481
L5,38,1481
L78,60,1482
R40,0,1483
L9,91,1483
R9,0,1484
L814,86,1492
L444,42,1496
L90,52,1497
R5,57,1497
L57,0,1498
R35,35,1498
L435,0,1503
R780,80,1510
L80,0,1511
L98,2,1511
L2,0,1512
R57,57,1512
R269,26,1515
R23,49,1515
R51,0,1516
L17,83,1516
L385,98,1520
L991,7,1529
L5,2,1529
L26,76,1530
L27,49,1530
L28,21,1530
R19,40,1530
R93,33,1531
L33,0,1532
R18,18,1532
L34,84,1533
L9,75,1533
L66,9,1533
L48,61,1534
L92,69,1535
R17,86,1535
R214,0,1538
L368,32,1541
L38,94,1542
R98,92,1543
R18,10,1544
L10,0,1545
R88,88,1545
L288,0,1548
L41,59,1548
L267,92,1551
R8,0,1552
R38,38,1552
L745,93,1560
R7,0,1561
L23,77,1561
L1,76,1561
L44,32,1561
L91,41,1562
L89,52,1563
R87,39,1564
L639,0,1571
R12,12,1571
R86,98,1571
L98,0,1572
R182,82,1573
L93,89,1574
R397,86,1578
L86,0,1579
R50,50,1579
R50,0,1580
L84,16,1580
R84,0,1581
R29,29,1581
R44,73,1581
R98,71,1582
L96,75,1583
L53,22,1583
L90,32,1584
R837,69,1592
R31,0,1593
R355,55,1596
R45,0,1597
L22,78,1597
L18,60,1597
R68,28,1598
R3,31,1598
R54,85,1598
L20,65,1598
R12,77,1598
L43,34,1598
L47,87,1599
R70,57,1600
L86,71,1601
R74,45,1602
L45,0,1603
R867,67,1611
L85,82,1612
L82,0,1613
R46,46,1613
R48,94,1613
R898,92,1622
L98,94,1623
R30,24,1624
R2,26,1624
R74,0,1625
L47,53,1625
R1,54,1625
L48,6,1625
R36,42,1625
L26,16,1625
L97,19,1626
R81,0,1627
L91,9,1627
R413,22,1631
L22,0,1632
R78,78,1632
L78,0,1633
R19,19,1633
R263,82,1635
L382,0,1639
L45,55,1639
L18,37,1639
R476,13,1644
L44,69,1645
L112,57,1646
R22,79,1646
L79,0,1647
R34,34,1647
L9,25,1647
L25,0,1648
L22,78,1648
R22,0,1649
R8,8,1649
R39,47,1649
L47,0,1650
R46,46,1650
L229,17,1652
L996,21,1662
R79,0,1663
L12,88,1663
L47,41,1663
L15,26,1663
R74,0,1664
L70,30,1664
L22,8,1664
R92,0,1665
R505,5,1670
L33,72,1671
R28,0,1672
R15,15,1672
R80,95,1672
L47,48,1672
L27,21,1672
L87,34,1673
L34,0,1674
L37,63,1674
L97,66,1675
L24,42,1675
L42,0,1676
R10,10,1676
R90,0,1677
R98,98,1677
L44,54,1677
R46,0,1678
L546,54,1683
R88,42,1684
R46,88,1684
R558,46,1690
L46,0,1691
R62,62,1691
R738,0,1699
L93,7,1699
R16,23,1699
L340,83,1703
R17,0,1704
L32,68,1704
L168,0,1706
R12,12,1706
L175,37,1708
L37,0,1709
L19,81,1709
L81,0,1710
L51,49,1710
L8,41,1710
L903,38,1719
L38,0,1720
L62,38,1720
L38,0,1721
R77,77,1721
L185,92,1723
R33,25,1724
L94,31,1725
L10,21,1725
R91,12,1726
L12,0,1727
R72,72,1727
L63,9,1727
R17,26,1727
L26,0,1728
R55,55,1728
R58,13,1729
R87,0,1730
R660,60,1736
L77,83,1737
L77,6,1737
L71,35,1738
L68,67,1739
L80,87,1740
R13,0,1741
L81,19,1741
R36,55,1741
R1,56,1741
L56,0,1742
R71,71,1742
R63,34,1743
R66,0,1744
L77,23,1744
R51,74,1744
L186,88,1746
R45,33,1747
R14,47,1747
L47,0,1748
R92,92,1748
R707,99,1755
L21,78,1755
L886,92,1764
L92,0,1765
L50,50,1765
L50,0,1766
R870,70,1774
R74,44,1775
L75,69,1776
L59,10,1776
L40,70,1777
L35,35,1777
R65,0,1778
R24,24,1778
R15,39,1778
L78,61,1779
R73,34,1780
R66,0,1781
R267,67,1783
L48,19,1783
L19,0,1784
R2,2,1784
R83,85,1784
R99,84,1785
R355,39,1789
L39,0,1790
R72,72,1790
R37,9,1791
R91,0,1792
R22,22,1792
L22,0,1793
R83,83,1793
L83,0,1794
L62,38,1794
L25,13,1794
R278,91,1796
R77,68,1797
R809,77,1805
L48,29,1805
L29,0,1806
R89,89,1806
L18,71,1806
R29,0,1807
R50,50,1807
L24,26,1807
L24,2,1807
R83,85,1807
R15,0,1808
R10,10,1808
L741,69,1816
R68,37,1817
R86,23,1818
R6,29,1818
L29,0,1819
L9,91,1819
L8,83,1819
L419,64,1823
R36,0,1824
L187,13,1825
L13,0,1826
R989,89,1835
R56,45,1836
L466,79,1841
L296,83,1844
R158,41,1846
L41,0,1847
L81,19,1847
L65,54,1848
R86,40,1849
R22,62,1849
R938,0,1859
L81,19,1859
R652,71,1865
L49,22,1865
L22,0,1866
L75,25,1866
R793,18,1874
R82,0,1875
R98,98,1875
L373,25,1878
R10,35,1878
L116,19,1879
L11,8,1879
L93,15,1880
R85,0,1881
L759,41,1888
R22,63,1888
R37,0,1889
L13,87,1889
L20,67,1889
L45,22,1889
L12,10,1889
R77,87,1889
R54,41,1890
R583,24,1896
R50,74,1896
L370,4,1899
R96,0,1900
R672,72,1906
R48,20,1907
R3,23,1907
R77,0,1908
L45,55,1908
L42,13,1908
L13,0,1909
L55,45,1909
L81,64,1910
R87,51,1911
L51,0,1912
L4,96,1912
L96,0,1913
L55,45,1913
L45,0,1914
R151,51,1915
R374,25,1919
L16,9,1919
L52,57,1920
L957,0,1930
R94,94,1930
L194,0,1932
L94,6,1932
R34,40,1932
L18,22,1932
L97,25,1933
R475,0,1938
R337,37,1941
R74,11,1942
R35,46,1942
L346,0,1946
R74,74,1946
L74,0,1947
R169,69,1948
R36,5,1949
R242,47,1951
R61,8,1952
R78,86,1952
L161,25,1953
R798,23,1961
R37,60,1961
R59,19,1962
R567,86,1967
R14,0,1968
R38,38,1968
R73,11,1969
L52,59,1970
R39,98,1970
L29,69,1970
L35,34,1970
R6,40,1970
L31,9,1970
R87,96,1970
R4,0,1971
R656,56,1977
L43,13,1977
R65,78,1977
L78,0,1978
R8,8,1978
R14,22,1978
R14,36,1978
L29,7,1978
L7,0,1979
L15,85,1979
L36,49,1979
L49,0,1980
R189,89,1981
R53,42,1982
L55,87,1983
L759,28,1990
L70,58,1991
R860,18,2000
R7,25,2000
R36,61,2000
L570,91,2006
L91,0,2007
R57,57,2007
L787,70,2015
R30,0,2016
R77,77,2016
L93,84,2017
L84,0,2018
L62,38,2018
R54,92,2018
L91,1,2018
L1,0,2019
R69,69,2019
L37,32,2019
L21,11,2019
R91,2,2020
R33,35,2020
R72,7,2021
R53,60,2021
R40,0,2022
R58,58,2022
L58,0,2023
R72,72,2023
L62,10,2023
R87,97,2023
R3,0,2024
L17,83,2024
R229,12,2027
R865,77,2035
L77,0,2036
L61,39,2036
L67,72,2037
R28,0,2038
R16,16,2038
L88,28,2039
R1,29,2039
R71,0,2040
L507,93,2045
L193,0,2047
L446,54,2051
R46,0,2052
R38,38,2052
R62,0,2053
R53,53,2053
L653,0,2060
R94,94,2060
L94,0,2061
R57,57,2061
R402,59,2065
L32,27,2065
L1,26,2065
R25,51,2065
R49,0,2066
R51,51,2066
R57,8,2067
L8,0,2068
R43,43,2068
R857,0,2077
L88,12,2077
R88,0,2078
R83,83,2078
R17,0,2079
R322,22,2082
L46,76,2083
L81,95,2084
L795,0,2092
L32,68,2092
R732,0,2100
R76,76,2100
L276,0,2103
L181,19,2104
L19,0,2105
R33,33,2105
R16,49,2105
L61,88,2106
R555,43,2112
R457,0,2117
L28,72,2117
L953,19,2126
L79,40,2127
L69,71,2128
L71,0,2129
L25,75,2129
L715,60,2136
R53,13,2137
L25,88,2138
R12,0,2139
L72,28,2139
R523,51,2144
L451,0,2149
L37,63,2149
L42,21,2149
R45,66,2149
L12,54,2149
R46,0,2150
R99,99,2150
R23,22,2151
L59,63,2152
R37,0,2153
R97,97,2153
R91,88,2154
R410,98,2158
R2,0,2159
R46,46,2159
R220,66,2161
R998,64,2171
R36,0,2172
R63,63,2172
R37,0,2173
L522,78,2178
R222,0,2181
L714,86,2188
L703,83,2195
L1,82,2195
R18,0,2196
R534,34,2201
L60,74,2202
R26,0,2203
R39,39,2203
R391,30,2207
L630,0,2214
L3,97,2214
L97,0,2215
L132,68,2216
R32,0,2217
L499,1,2221
R69,70,2221
L70,0,2222
L30,70,2222
L83,87,2223
L72,15,2223
R87,2,2224
L2,0,2225
R40,40,2225
R60,0,2226
R50,50,2226
R44,94,2226
L56,38,2226
R62,0,2227
L45,55,2227
L77,78,2228
L23,55,2228
L83,72,2229
L94,78,2230
R22,0,2231
L67,33,2231
R65,98,2231
L98,0,2232
L57,43,2232
R25,68,2232
R32,0,2233
R67,67,2233
R45,12,2234
R787,99,2241
R1,0,2242
L31,69,2242
L69,0,2243
L42,58,2243
L58,0,2244
R831,31,2252
R568,99,2257
R51,50,2258
L50,0,2259
L75,25,2259
L25,0,2260
L833,67,2268
R426,93,2272
R72,65,2273
R35,0,2274
L299,1,2276
L65,36,2277
R263,99,2279
R1,0,2280
R89,89,2280
R11,0,2281
L80,20,2281
R43,63,2281
L63,0,2282
L38,62,2282
R38,0,2283
R6,6,2283
R80,86,2283
L919,67,2292
L40,27,2292
L27,0,2293
L66,34,2293
R45,79,2293
L79,0,2294
L80,20,2294
L776,44,2302
R56,0,2303
L87,13,2303
L8,5,2303
L15,90,2304
R13,3,2305
R997,0,2315
L89,11,2315
L6,5,2315
L28,77,2316
R27,4,2317
L99,5,2318
L5,0,2319
R79,79,2319
R96,75,2320
L75,0,2321
L72,28,2321
L54,74,2322
L74,0,2323
R74,74,2323
L19,55,2323
R1,56,2323
L56,0,2324
R41,41,2324
L20,21,2324
L6,15,2324
R80,95,2324
R5,0,2325
L9,91,2325
L813,78,2333
R62,40,2334
R760,0,2342
R51,51,2342
R61,12,2343
R23,35,2343
R365,0,2347
L62,38,2347
R62,0,2348
R39,39,2348
R67,6,2349
L66,40,2350
R468,8,2355
R9,17,2355
R538,55,2360
L55,0,2361
R20,20,2361
R280,0,2364
L71,29,2364
L629,0,2371
L78,22,2371
R728,50,2378
R39,89,2378
L50,39,2378
L139,0,2380
R119,19,2381
L23,96,2382
R3,99,2382
L62,37,2382
L37,0,2383
R96,96,2383
L338,58,2386
R302,60,2389
L87,73,2390
L17,56,2390
R644,0,2397
R82,82,2397
R64,46,2398
L46,0,2399
L16,84,2399
L23,61,2399
R1,62,2399
R38,0,2400
R28,28,2400
L18,10,2400
L1,9,2400
L83,26,2401
L4,22,2401
L82,40,2402
L7,33,2402
L533,0,2408
R93,93,2408
R41,34,2409
L66,68,2410
R32,0,2411
R259,59,2413
L8,51,2413
L22,29,2413
R36,65,2413
R35,0,2414
R85,85,2414
R82,67,2415
L745,22,2422
R78,0,2423
R68,68,2423
R92,60,2424
L96,64,2425
L64,0,2426
R5,5,2426
L85,20,2427
L20,0,2428
L65,35,2428
L35,0,2429
R22,22,2429
L21,1,2429
L8,93,2430
R307,0,2434
L29,71,2434
R29,0,2435
R94,94,2435
R65,59,2436
L910,49,2445
R74,23,2446
R77,0,2447
L561,39,2452
L72,67,2453
R71,38,2454
R96,34,2455
R48,82,2455
R37,19,2456
R837,56,2464
R860,16,2473
L93,23,2474
L349,74,2478
R26,0,2479
L99,1,2479
L347,54,2483
R146,0,2485
L58,42,2485
R16,58,2485
L898,60,2494
L362,98,2498
R777,75,2506
L75,0,2507
L33,67,2507
R19,86,2507
L79,7,2507
R473,80,2511
L61,19,2511
L32,87,2512
L26,61,2512
R34,95,2512
R5,0,2513
L55,45,2513
R82,27,2514
L85,42,2515
L642,0,2522
L44,56,2522
R844,0,2531
R33,33,2531
R994,27,2541
R51,78,2541
L78,0,2542
R39,39,2542
L8,31,2542
R69,0,2543
R2,2,2543
R98,0,2544
R60,60,2544
L60,0,2545
R89,89,2545
R11,0,2546
L701,99,2553
R77,76,2554
R72,48,2555
L952,96,2565
L96,0,2566
L813,87,2574
R91,78,2575
R22,0,2576
R82,82,2576
L650,32,2582
L59,73,2583
R21,94,2583
L57,37,2583
R63,0,2584
R82,82,2584
L60,22,2584
L60,62,2585
L59,3,2585
R33,36,2585
L69,67,2586
L47,20,2586
R12,32,2586
R468,0,2591
L69,31,2591
R69,0,2592
R96,96,2592
R25,21,2593
R46,67,2593
L10,57,2593
L57,0,2594
L56,44,2594
R56,0,2595
R940,40,2604
R60,0,2605
L62,38,2605
L38,0,2606
L54,46,2606
L341,5,2609
L83,22,2610
L22,0,2611
L56,44,2611
R39,83,2611
L72,11,2611
L7,4,2611
L302,2,2614
R98,0,2615
L37,63,2615
L96,67,2616
L9,58,2616
R453,11,2621
L11,0,2622
R42,42,2622
L16,26,2622
R4,30,2622
R670,0,2629
