Miscare,Scor,Password
L81,54,927
L49,56,928
L83,73,929
L287,86,932
R819,5,941
L54,51,942
L53,98,943
R488,86,948
R47,33,949
R14,47,949
L141,65,951
L420,45,955
L72,73,956
R72,45,957
L17,28,957
L939,89,967
L36,53,967
R192,45,969
R66,11,970
L50,61,971
R84,45,972
R27,72,972
L85,87,973
L69,49,974
L646,57,981
L85,72,982
R25,97,982
R33,30,983
R97,27,984
L686,41,991
R989,30,1001
R90,20,1002
R67,87,1002
L57,73,1003
L14,59,1003
L70,89,1004
L17,72,1004
L375,97,1008
R37,34,1009
L61,73,1010
R2,75,1010
L2,73,1010
R443,16,1015
R22,38,1015
R611,49,1021
R83,32,1022
L59,73,1023
L451,71,1028
L304,67,1031
R48,15,1032
L24,91,1033
L69,53,1034
R8,61,1034
R92,53,1035
R12,65,1035
L12,53,1035
L76,77,1036
L424,53,1040
L351,0,1045
L51,98,1046
L98,0,1047
L4,92,1047
L42,50,1047
R77,27,1048
L87,40,1049
R33,73,1049
R17,90,1049
R6,96,1049
R21,17,1050
L342,75,1054
R321,96,1057
R32,28,1058
L54,74,1059
R206,80,1061
R67,47,1062
R27,74,1062
L30,44,1062
L71,73,1063
R34,7,1064
L88,19,1065
R77,96,1065
R68,64,1066
R6,70,1066
L30,40,1066
L93,47,1067
R62,9,1068
L141,68,1070
R26,94,1070
R3,97,1070
L942,55,1079
L20,35,1079
R16,51,1079
R19,70,1079
R26,96,1079
L71,54,1080
R957,11,1090
L43,68,1091
R42,10,1092
L10,0,1093
R21,21,1093
R4,25,1093
L27,98,1094
L85,28,1095
L3,25,1095
L64,61,1096
L21,40,1096
L87,53,1097
R3,56,1097
L816,40,1105
R47,87,1105
L46,95,1106
R99,94,1107
L75,44,1108
L25,94,1109
L71,52,1110
R83,35,1111
L67,68,1112
L25,43,1112
R41,84,1112
L61,62,1113
R28,90,1113
R192,82,1115
L20,62,1115
L11,51,1115
L989,62,1125
R64,26,1126
R25,51,1126
L62,89,1127
L227,62,1129
R92,54,1130
L692,62,1137
L68,94,1138
L14,80,1138
R82,62,1139
R81,43,1140
L77,66,1141
R62,28,1142
R88,16,1143
R46,62,1143
L91,71,1144
R59,30,1145
R57,87,1145
L88,99,1146
L687,25,1153
R38,63,1153
L88,75,1154
R90,65,1155
L190,75,1157
R24,99,1157
L82,35,1158
L73,62,1159
R540,2,1165
R136,38,1166
L888,50,1175
R443,93,1179
R40,33,1180
R260,93,1182
L1,92,1182
L99,93,1183
L6,87,1183
R88,75,1184
L82,93,1185
L37,56,1185
L63,93,1186
L790,13,1194
L28,85,1195
L40,45,1195
R69,14,1196
L11,92,1197
L83,26,1198
L95,31,1199
L61,70,1200
R29,99,1200
L54,91,1201
L236,55,1203
R25,80,1203
L90,0,1205
R399,99,1208
L49,50,1208
L67,83,1209
L18,65,1209
R47,12,1210
L46,66,1211
L866,0,1220
L2,96,1220
R41,37,1221
R62,99,1221
R64,63,1222
L67,96,1223
L5,91,1223
L10,81,1223
R199,80,1225
L61,58,1226
L556,46,1232
R26,72,1232
R31,3,1233
R25,28,1233
R9,37,1233
R9,46,1233
L50,96,1234
L76,44,1235
R26,70,1235
L303,67,1238
R3,70,1238
R2,72,1238
L35,37,1238
L1,36,1238
R98,34,1239
R87,21,1240
L51,70,1241
R28,98,1241
L28,70,1241
L23,47,1241
L2,45,1241
L175,70,1243
L12,58,1243
L21,37,1243
L22,93,1244
R555,48,1250
R952,0,1260
L52,96,1261
R345,41,1265
R63,4,1266
R639,43,1272
R679,22,1279
R54,76,1279
L13,63,1279
L67,96,1280
R12,8,1281
L12,96,1282
R23,19,1283
L64,55,1284
L33,89,1285
R874,63,1294
L932,99,1304
R32,31,1305
L99,32,1306
L34,98,1307
R92,90,1308
R41,31,1309
L37,94,1310
R22,16,1311
L8,0,1312
L73,54,1313
L427,0,1318
R23,23,1318
R15,38,1318
R17,55,1318
R61,16,1319
L44,72,1320
R67,39,1321
L116,23,1322
L66,57,1323
L32,93,1324
R80,73,1325
L11,62,1325
L44,74,1326
L27,47,1326
R60,7,1327
R40,47,1327
L66,81,1328
R66,47,1329
L60,87,1330
L40,47,1330
R372,19,1334
L772,47,1342
R52,99,1342
R48,47,1343
R90,37,1344
L77,60,1345
R94,54,1346
L7,47,1346
R81,28,1347
L381,47,1351
L60,87,1352
R854,41,1361
R95,36,1362
L989,47,1372
R40,87,1372
R32,19,1373
L41,78,1374
L68,42,1375
L63,79,1376
R919,98,1385
R781,79,1393
R57,36,1394
L32,72,1395
L25,47,1395
R18,65,1395
L861,43,1404
L815,28,1412
R698,26,1419
L16,94,1420
L875,44,1429
L49,95,1430
L58,79,1431
R68,47,1432
R86,33,1433
R16,49,1433
R788,37,1441
L15,22,1441
L85,37,1442
L69,68,1443
R23,91,1443
L50,91,1444
R96,87,1445
R76,63,1446
L88,75,1447
R12,87,1447
L71,45,1448
L31,83,1449
L14,69,1449
R20,89,1449
L4,85,1449
L51,83,1450
L549,85,1456
L74,37,1457
L35,67,1458
L91,76,1459
L13,63,1459
R13,76,1459
L891,85,1468
L85,0,1469
L76,48,1470
R37,85,1470
L660,65,1477
R75,40,1478
L9,31,1478
L322,87,1482
L69,49,1483
R817,66,1491
R83,49,1492
L75,74,1493
L25,49,1493
R85,34,1494
R57,91,1494
L669,53,1501
R1,54,1501
L74,80,1502
L57,66,1503
L48,70,1504
R76,46,1505
L71,75,1506
R394,69,1510
R98,67,1511
R44,11,1512
R93,4,1513
R91,95,1513
L90,15,1514
R35,50,1514
L193,57,1516
R57,14,1517
R31,45,1517
L60,85,1518
R240,25,1521
R60,85,1521
R62,47,1522
L44,59,1523
L18,41,1523
R6,47,1523
L506,41,1528
R46,87,1528
R54,41,1529
R74,15,1530
L74,41,1531
R80,21,1532
L294,27,1535
R277,4,1538
R49,53,1538
R8,61,1538
R88,49,1539
R92,41,1540
R78,19,1541
R611,30,1547
L611,19,1553
R22,41,1553
L928,85,1563
R89,74,1564
R839,13,1573
L27,86,1574
R66,52,1575
L39,74,1576
R11,85,1576
L11,74,1576
R56,30,1577
R97,27,1578
R922,49,1587
L574,75,1593
L1,74,1593
L89,85,1594
R15,0,1595
L73,54,1596
R947,1,1606
L61,40,1607
L85,55,1608
R46,1,1609
L72,29,1610
L28,73,1611
L72,29,1612
R29,58,1612
L23,35,1612
R66,1,1613
L33,68,1614
L67,34,1615
L2,32,1615
L798,34,1623
L90,44,1624
R31,75,1624
L46,83,1625
L61,0,1627
L934,98,1637
L85,28,1638
R85,13,1639
L17,96,1640
L83,30,1641
L14,16,1641
L4,12,1641
R518,30,1646
R43,73,1646
L5,68,1646
L78,90,1647
R40,30,1648
L9,21,1648
R9,30,1648
L814,16,1656
L444,72,1661
L90,82,1662
R5,87,1662
L57,73,1663
R35,8,1664
L435,73,1669
R780,53,1677
L80,73,1678
L98,75,1679
L2,73,1679
R57,30,1680
R269,99,1682
R23,22,1683
R51,73,1683
L17,56,1683
L385,71,1687
L991,80,1697
L5,75,1697
L26,49,1697
L27,95,1698
L28,67,1698
R19,86,1698
R93,79,1699
L33,46,1699
R18,64,1699
L34,96,1700
L9,87,1700
L66,55,1701
L48,59,1702
L92,67,1703
R17,84,1703
R214,98,1705
L368,62,1709
L38,86,1710
R98,84,1711
R18,2,1712
L10,92,1713
R88,80,1714
L288,92,1717
L41,51,1717
L267,84,1720
R8,92,1720
R38,30,1721
L745,85,1729
R7,92,1729
L23,69,1729
L1,68,1729
L44,80,1730
L91,89,1731
L89,0,1732
R87,87,1732
L639,48,1738
R12,60,1738
R86,46,1739
L98,48,1740
R182,30,1742
L93,37,1743
R397,34,1747
L86,48,1748
R50,98,1748
R50,48,1749
L84,64,1750
R84,48,1751
R29,77,1751
R44,21,1752
R98,19,1753
L96,23,1754
L53,70,1755
L90,80,1756
R837,17,1765
R31,48,1765
R355,3,1769
R45,48,1769
L22,26,1769
L18,90,1770
R68,58,1771
R3,61,1771
R54,15,1772
L20,95,1773
R12,7,1774
L43,64,1775
L47,70,1776
R70,40,1777
L86,54,1778
R74,28,1779
L45,83,1780
R867,50,1789
L85,65,1790
L82,83,1791
R46,29,1792
R48,77,1792
R898,75,1801
L98,77,1802
R30,7,1803
R2,9,1803
R74,83,1803
L47,89,1804
R1,90,1804
L48,94,1805
R36,30,1806
L26,78,1807
L97,81,1808
R81,62,1809
L91,71,1810
R413,84,1814
L22,62,1814
R78,40,1815
L78,62,1816
R19,81,1816
R263,44,1819
L382,62,1823
L45,72,1824
L18,54,1824
R476,30,1829
L44,86,1830
L112,74,1831
R22,96,1831
L79,38,1832
R34,72,1832
L9,63,1832
L25,38,1832
L22,94,1833
R22,16,1834
R8,24,1834
R39,63,1834
L47,69,1835
R46,15,1836
L229,86,1839
L996,90,1849
R79,69,1850
L12,57,1850
L47,63,1851
L15,48,1851
R74,22,1852
L70,52,1853
L22,30,1853
R92,22,1854
R505,27,1859
L33,94,1860
R28,22,1861
R15,37,1861
R80,17,1862
L47,70,1863
L27,43,1863
L87,56,1864
L34,88,1865
L37,51,1865
L97,54,1866
L24,30,1866
L42,88,1867
R10,98,1867
R90,88,1868
R98,86,1869
L44,98,1870
R46,44,1871
L546,98,1877
R88,86,1878
R46,32,1879
R558,90,1884
L46,98,1885
R62,60,1886
R738,98,1893
L93,12,1894
R16,28,1894
L340,88,1898
R17,5,1899
L32,73,1900
L168,37,1902
R12,49,1902
L175,74,1904
L37,0,1905
L19,62,1905
L81,0,1907
L51,98,1908
L8,90,1908
L903,87,1917
L38,49,1917
L62,87,1918
L38,49,1918
R77,26,1919
L185,41,1921
R33,74,1921
L94,80,1922
L10,70,1922
R91,61,1923
L12,49,1923
R72,21,1924
L63,58,1925
R17,75,1925
L26,49,1925
R55,4,1926
R58,62,1926
R87,49,1927
R660,9,1934
L77,32,1935
L77,55,1936
L71,84,1937
L68,48,1938
L80,68,1939
R13,81,1939
L81,0,1940
R36,36,1940
R1,37,1940
L56,81,1941
R71,52,1942
R63,15,1943
R66,81,1943
L77,27,1944
R51,78,1944
L186,92,1946
R45,37,1947
R14,51,1947
L47,57,1948
R92,49,1949
R707,56,1956
L21,35,1956
L886,49,1965
L92,57,1966
L50,57,1967
L50,57,1968
R870,27,1977
R74,1,1978
L75,26,1979
L59,67,1980
L40,87,1981
L35,52,1981
R65,17,1982
R24,41,1982
R15,56,1982
L78,0,1984
R73,73,1984
R66,39,1985
R267,6,1988
L48,58,1989
L19,39,1989
R2,41,1989
R83,24,1990
R99,23,1991
R355,78,1994
L39,0,1995
R72,72,1995
R37,9,1996
R91,0,1997
R22,22,1997
L22,0,1998
R83,83,1998
L83,0,1999
L62,76,2000
L25,51,2000
R278,29,2003
R77,6,2004
R809,15,2012
L48,67,2013
L29,38,2013
R89,27,2014
L18,91,2015
R29,20,2016
R50,70,2016
L24,46,2016
L24,98,2017
R83,81,2018
R15,96,2018
R10,6,2019
L741,65,2027
R68,33,2028
R86,19,2029
R6,25,2029
L29,96,2030
L9,87,2030
L8,79,2030
L419,60,2034
R36,96,2034
L187,22,2036
L13,96,2037
R989,85,2047
R56,41,2048
L466,75,2053
L296,79,2056
R158,37,2058
L41,96,2059
L81,34,2060
L65,69,2061
R86,55,2062
R22,77,2062
R938,15,2072
L81,34,2073
R652,86,2079
L49,88,2080
L22,66,2080
L75,91,2081
R793,84,2089
R82,66,2090
R98,64,2091
L373,91,2095
R10,1,2096
L116,85,2098
L11,74,2098
L93,81,2099
R85,66,2100
L759,48,2108
R22,70,2108
R37,7,2109
L13,94,2110
L20,74,2110
L45,84,2111
L12,72,2111
R77,49,2112
R54,3,2113
R583,86,2118
R50,36,2119
L370,66,2123
R96,62,2124
R672,34,2131
R48,82,2131
R3,85,2131
R77,62,2132
L45,72,2133
L42,88,2134
L13,75,2134
L55,65,2135
L81,84,2136
R87,71,2137
L51,69,2138
L4,65,2138
L96,69,2139
L55,59,2140
L45,69,2141
R151,20,2143
R374,94,2146
L16,78,2146
L52,74,2147
L957,60,2157
R94,54,2158
L194,60,2160
L94,66,2161
R34,0,2162
L18,64,2162
L97,67,2163
R475,42,2168
R337,79,2171
R74,53,2172
R35,88,2172
L346,96,2176
R74,70,2177
L74,96,2178
R169,65,2180
R36,1,2181
R242,43,2183
R61,4,2184
R78,82,2184
L161,60,2186
R798,58,2194
R37,95,2194
R59,54,2195
R567,21,2201
R14,35,2201
R38,73,2201
R73,46,2202
L52,94,2203
R39,33,2204
L29,75,2205
L35,40,2205
R6,46,2205
L31,84,2206
R87,71,2207
R4,75,2207
R656,31,2214
L43,88,2215
R65,53,2216
L78,75,2217
R8,83,2217
R14,97,2217
R14,11,2218
L29,82,2219
L7,75,2219
L15,60,2219
L36,88,2220
L49,90,2221
R189,79,2223
R53,32,2224
L55,77,2225
L759,0,2234
L70,60,2235
R860,20,2244
R7,27,2244
R36,63,2244
L570,93,2250
L91,11,2251
R57,68,2251
L787,81,2259
R30,11,2260
R77,88,2260
L93,95,2261
L84,27,2262
L62,65,2263
R54,19,2264
L91,28,2265
L1,27,2265
R69,96,2265
L37,59,2265
L21,38,2265
R91,29,2266
R33,62,2266
R72,34,2267
R53,87,2267
R40,27,2268
R58,85,2268
L58,69,2269
R72,41,2270
L62,79,2271
R87,66,2272
R3,69,2272
L17,52,2272
R229,81,2274
R865,46,2283
L77,69,2284
L61,47,2285
L67,80,2286
R28,8,2287
R16,24,2287
L88,36,2288
R1,37,2288
R71,8,2289
L507,94,2295
L193,8,2297
L446,62,2302
R46,8,2303
R38,46,2303
R62,8,2304
R53,61,2304
L653,55,2311
R94,49,2312
L94,55,2313
R57,12,2314
R402,14,2318
L32,82,2319
L1,81,2319
R25,6,2320
R49,55,2320
R51,6,2321
R57,63,2321
L8,55,2321
R43,98,2321
R857,55,2330
L88,67,2331
R88,55,2332
R83,38,2333
R17,55,2333
R322,77,2336
L46,85,2337
L81,23,2338
L795,28,2346
L32,96,2347
R732,28,2355
R76,4,2356
L276,28,2359
L181,47,2361
L19,28,2361
R33,61,2361
R16,77,2361
L61,55,2362
R555,10,2368
R457,67,2372
L28,39,2372
L953,86,2382
L79,28,2383
L69,59,2384
L71,88,2385
L25,63,2385
L715,48,2392
R53,1,2393
L25,76,2394
R12,88,2394
L72,44,2395
R523,67,2400
L451,65,2405
L37,91,2406
L42,49,2406
R45,94,2406
L12,82,2406
R46,28,2407
R99,27,2408
R23,50,2408
L59,91,2409
R37,28,2410
R97,25,2411
R91,16,2412
R410,26,2416
R2,28,2416
R46,74,2416
R220,94,2418
R998,92,2428
R36,28,2429
R63,91,2429
R37,28,2430
L522,84,2436
R222,6,2439
L714,92,2447
L703,89,2454
L1,88,2454
R18,6,2455
R534,40,2460
L60,80,2461
R26,6,2462
R39,45,2462
R391,36,2466
L630,76,2473
L3,73,2473
L97,76,2474
L132,44,2475
R32,76,2475
L499,77,2480
R69,46,2481
L70,76,2482
L30,46,2482
L83,63,2483
L72,91,2484
R87,78,2485
L2,76,2485
R40,16,2486
R60,76,2486
R50,26,2487
R44,70,2487
L56,58,2488
R62,20,2489
L45,75,2490
L77,98,2491
L23,75,2491
L83,92,2492
L94,98,2493
R22,20,2494
L67,53,2495
R65,18,2496
L98,20,2497
L57,63,2498
R25,88,2498
R32,20,2499
R67,87,2499
R45,32,2500
R787,19,2508
R1,20,2508
L31,89,2509
L69,51,2510
L42,67,2511
L58,51,2512
R831,82,2520
R568,50,2526
R51,1,2527
L50,51,2528
L75,76,2529
L25,51,2529
L833,85,2538
R426,11,2543
R72,83,2543
R35,18,2544
L299,19,2547
L65,54,2548
R263,17,2551
R1,18,2551
R89,7,2552
R11,18,2552
L80,38,2553
R43,81,2553
L63,55,2554
L38,79,2555
R38,17,2556
R6,23,2556
R80,3,2557
L919,84,2567
L40,44,2567
L27,90,2568
L66,58,2569
R45,3,2570
L79,24,2571
L80,44,2572
L776,68,2580
R56,24,2581
L87,37,2582
L8,29,2582
L15,99,2583
R13,12,2584
R997,9,2594
L89,20,2595
L6,14,2595
L28,86,2596
R27,13,2597
L99,14,2598
L5,9,2598
R79,88,2598
R96,84,2599
L75,34,2600
L72,62,2601
L54,0,2603
L74,52,2604
R74,26,2605
L19,88,2606
R1,89,2606
L56,77,2607
R41,18,2608
L20,98,2609
L6,92,2609
R80,72,2610
R5,77,2610
L9,68,2610
L813,55,2618
R62,17,2619
R760,77,2626
R51,28,2627
R61,89,2627
R23,12,2628
R365,77,2631
L62,53,2632
R62,15,2633
R39,54,2633
R67,21,2634
L66,55,2635
R468,23,2640
R9,32,2640
R538,70,2645
L55,60,2646
R20,80,2646
R280,60,2649
L71,89,2650
L629,60,2656
L78,82,2657
R728,10,2665
R39,49,2665
L50,99,2666
L139,60,2667
R119,79,2668
L23,56,2668
R3,59,2668
L62,97,2669
L37,60,2669
R96,56,2670
L338,80,2674
R302,82,2677
L87,95,2678
L17,78,2678
R644,22,2685
R82,4,2686
R64,68,2686
L46,76,2687
L16,60,2687
L23,37,2687
R1,38,2687
R38,76,2687
R28,4,2688
L18,86,2689
L1,85,2689
L83,19,2690
L4,15,2690
L82,33,2691
L7,26,2691
L533,93,2697
R93,86,2698
R41,27,2699
L66,61,2700
R32,93,2700
R259,52,2703
L8,44,2703
L22,0,2704
R36,36,2704
R35,71,2704
R85,56,2705
R82,38,2706
L745,93,2714
R78,71,2715
R68,39,2716
R92,31,2717
L96,35,2718
L64,71,2719
R5,76,2719
L85,91,2720
L20,71,2720
L65,41,2721
L35,71,2722
R22,93,2722
L21,72,2722
L8,64,2722
R307,71,2725
L29,42,2725
R29,71,2725
R94,65,2726
R65,30,2727
L910,20,2736
R74,94,2736
R77,71,2737
L561,49,2743
L72,77,2744
R71,48,2745
R96,44,2746
R48,92,2746
R37,29,2747
R837,66,2755
R860,26,2764
L93,33,2765
L349,84,2769
R26,10,2770
L99,11,2771
L347,64,2775
R146,10,2777
L58,52,2778
R16,68,2778
L898,70,2787
L362,46,2791
R777,23,2799
L75,48,2800
L33,82,2801
R19,1,2802
L79,22,2803
R473,95,2807
L61,73,2808
L32,41,2808
L26,89,2809
R34,23,2810
R5,28,2810
L55,73,2811
R82,55,2812
L85,70,2813
L642,86,2820
L44,98,2821
R844,42,2830
R33,75,2830
R994,69,2840
R51,20,2841
L78,42,2842
R39,81,2842
L8,73,2842
R69,42,2843
R2,44,2843
R98,42,2844
R60,2,2845
L60,42,2846
R89,31,2847
R11,42,2847
L701,41,2854
R77,18,2855
R72,90,2855
L952,86,2865
L96,90,2866
L813,77,2874
R91,68,2875
R22,90,2875
R82,72,2876
L650,72,2883
L59,54,2884
R21,75,2884
L57,61,2885
R63,24,2886
R82,6,2887
L60,46,2888
L60,86,2889
L59,68,2890
R33,1,2891
L69,32,2892
L47,85,2893
R12,97,2893
R468,65,2898
L69,96,2899
R69,65,2900
R96,61,2901
R25,86,2901
R46,32,2902
L10,22,2902
L57,65,2903
L56,53,2904
R56,9,2905
R940,49,2914
R60,9,2915
L62,47,2916
L38,71,2917
L54,63,2918
L341,81,2922
L83,98,2923
L22,76,2923
L56,64,2924
R39,3,2925
L72,31,2926
